AC No.,Scraped Data Name (From IndiaVotes),Change It Exactly To (What the Map File Needs)
1,Gummidipoondi,Gummidipoondi
2,Ponneri,Ponneri (SC)
3,Tiruttani,Tiruttani
4,Thiruvallur,Thiruvallur
5,Poonamallee,Poonamallee (SC)
6,Avadi,Avadi
7,Maduravoyal,Maduravoyal
8,Ambattur,Ambattur
9,Madavaram,Madavaram
10,Thiruvottiyur,Tiruvottiyur
11,Dr.Radhakrishnan Nagar,Dr.Radhakrishnan Naga
12,Perambur,Perambur
13,Kolathur,Kolathur
14,Villivakkam,Villivakkam
15,Thiru-Vi-Ka-Nagar,Thiru-Vi-Ka-Nagar(SC)
16,Egmore,Egmore (SC)
17,Royapuram,Royapuram
18,Harbour,Harbour
19,Chepauk-Thiruvallikeni,Chepauk-Thiruvalliken
20,Thousand Lights,Thousand Lights
21,Anna Nagar,Anna Nagar
22,Virugampakkam,Virugampakkam
23,Saidapet,Saidapet
24,Thiyagarayanagar,Thiyagarayanagar
25,Mylapore,Mylapore
26,Velachery,Velachery
27,Shozhinganallur,Shozhinganallur
28,Alandur,Alandur
29,Sriperumbudur,Sriperumbudur (SC)
30,Pallavaram,Pallavaram
31,Tambaram,Tambaram
32,Chengalpattu,Chengalpattu
33,Thiruporur,Thiruporur
34,Cheyyur,Cheyyur (SC)
35,Madurantakam,Madurantakam (SC)
36,Uthiramerur,Uthiramerur
37,Kancheepuram,Kancheepuram
38,Arakkonam,Arakkonam (SC)
39,Sholinghur,Sholingur
40,Katpadi,Katpadi
41,Ranipet,Ranipet
42,Arcot,Arcot
43,Vellore,Vellore
44,Anaikattu,Anaikattu
45,Kilvaithinankuppam,Kilvaithinankuppam(SC
46,Gudiyattam,Gudiyattam (SC)
47,Vaniyambadi,Vaniyambadi
48,Ambur,Ambur
49,Jolarpet,Jolarpet
50,Tirupattur,Tiruppattur
51,Uthangarai,Uthangarai (SC)
52,Bargur,Bargur
53,Krishnagiri,Krishnagiri
54,Veppanahalli,Veppanahalli
55,Hosur,Hosur
56,Thalli,Thalli
57,Palacodu,Palacodu
58,Pennagaram,Pennagaram
59,Dharmapuri,Dharmapuri
60,Pappireddipatti,Pappireddippatti
61,Harur,Harur (SC)
62,Chengam,Chengam (SC)
63,Tiruvannamalai,Tiruvannamalai
64,Kilpennathur,Kilpennathur
65,Kalasapakkam,Kalasapakkam
66,Polur,Polur
67,Arani,Arani
68,Cheyyar,Cheyyar
69,Vandavasi,Vandavasi (SC)
70,Gingee,Vandavasi (SC)
71,Mailam,Mailam
72,Tindivanam,Tindivanam (SC)
73,Vanur,Vanur (SC)
74,Viluppuram,Viluppuram
75,Vikravandi,Vikravandi
76,Tirukkoyilur,Tirukkoyilur
77,Ulundurpettai,Ulundurpettai
78,Rishivandiyam,Rishivandiyam
79,Sankarapuram,Sankarapuram
80,Kallakurichi,Kallakurichi (SC)
81,Gangavalli,Gangavalli (SC)
82,Attur,Attur(SC)
83,Yercaud,Yercaud (ST)
84,Omalur,Omalur
85,Mettur,Mettur
86,Edappadi,Edappadi
87,Sankari,Sankari
88,Salem (West),Salem (West)
89,Salem (North),Salem (North)
90,Salem (South),Salem (South)
